約定日,銘柄,銘柄コード,市場,取引,期限,預り,課税,約定数量,約定単価,手数料/諸経費等,税額,受渡日,受渡金額/決済損益
2024/6/6,メディアスホールディングス,3154,東証,信用返済買,6ヶ月, 特定 ,申告,400,970,11,--,2024/6/10,-4811
2024/6/17,博展,2173,--,株式現物買,--, 特定 ,--,1,495,--,--,2024/6/19,495
2024/6/21,サカタインクス,4633,--,株式現物買,--, 特定 ,--,1,1795,--,--,2024/6/25,1795
2024/6/21,東京都競馬,9672,--,株式現物買,--, 特定 ,--,1,4015,--,--,2024/6/25,4015
2024/6/24,テー・オー・ダブリュー,4767,--,株式現物買,--, 特定 ,--,1,359,--,--,2024/6/26,359
2024/6/25,カゴメ,2811,東証,株式現物買,--, 特定 ,--,100,3282,--,--,2024/6/27,328200
2024/6/25,片倉工業,3001,--,株式現物買,--, 特定 ,--,1,2154,--,--,2024/6/27,2154
2024/6/25,ＭｏｎｏｔａＲＯ,3064,--,株式現物買,--, 特定 ,--,1,1791,--,--,2024/6/27,1791
2024/6/25,ビジネスエンジニアリング,4828,東証,株式現物買,--, 特定 ,--,100,3670,--,--,2024/6/27,367000
2024/6/25,カゴメ,2811,東証,信用新規売,15日, 特定 ,--,100,3282,--,--,2024/6/27,--
2024/6/25,ビジネスエンジニアリング,4828,東証,信用新規売,15日, 特定 ,--,100,3670,--,--,2024/6/27,--
2024/6/27,カゴメ,2811,--,現渡,15日, 特定 ,申告,100,3282,175,--,2024/7/1,328025
2024/6/27,ビジネスエンジニアリング,4828,--,現渡,15日, 特定 ,申告,100,3670,196,--,2024/7/1,366804
2024/8/2,フジッコ,2908,--,株式現物買,--, 特定 ,--,1,1795,--,--,2024/8/6,1795
2024/8/2,ＴＳＩホールディングス,3608,--,株式現物買,--, 特定 ,--,1,825,--,--,2024/8/6,825
2024/8/2,テイ・エス　テック,7313,--,株式現物買,--, 特定 ,--,1,1869,--,--,2024/8/6,1869
2024/8/2,進和,7607,--,株式現物買,--, 特定 ,--,1,2452,--,--,2024/8/6,2452
2024/8/2,マニー,7730,--,株式現物買,--, 特定 ,--,1,1964.5,--,--,2024/8/6,1964
2024/8/5,セブン＆アイ・ホールディングス,3382,--,株式現物買,--, 特定 ,--,1,1726.5,--,--,2024/8/7,1726
2024/8/5,ＡＶＡＮＴＩＡ,8904,--,株式現物買,--, 特定 ,--,1,820,--,--,2024/8/7,820
2024/8/26,Ｊ．フロント　リテイリング,3086,--,株式現物買,--, 特定 ,--,1,1468,--,--,2024/8/28,1468
2024/8/26,フロイント産業,6312,--,株式現物買,--, 特定 ,--,1,784,--,--,2024/8/28,784
2024/8/28,日本ファルコム,3723,--,株式現物買,--, 特定 ,--,1,1224,--,--,2024/8/30,1224
2024/9/2,アステリア,3853,--,株式現物買,--, 特定 ,--,1,546,--,--,2024/9/4,546
2024/9/9,極楽湯ホールディングス,2340,--,株式現物買,--, 特定 ,--,1,404,--,--,2024/9/11,404
2024/9/24,アシックス,7936,--,株式現物売,--, 特定 ,申告,4,2985,--,--,2024/9/26,11940
2024/9/26,亀田製菓,2220,東証,株式現物買,--, 特定 ,--,100,4445,--,--,2024/9/30,444500
2024/9/26,アドソル日進,3837,--,株式現物買,--, 特定 ,--,1,1791,--,--,2024/9/30,1791
2024/9/26,上新電機,8173,--,株式現物買,--, 特定 ,--,1,2786,--,--,2024/9/30,2786
2024/9/26,エイチ・ツー・オー　リテイリング,8242,東証,株式現物買,--, 特定 ,--,100,2239,--,--,2024/9/30,223900
2024/9/26,亀田製菓,2220,東証,信用新規売,15日, 特定 ,--,100,4445,--,--,2024/9/30,--
2024/9/26,エイチ・ツー・オー　リテイリング,8242,東証,信用新規売,15日, 特定 ,--,100,2239,--,--,2024/9/30,--
2024/9/27,上新電機,8173,--,株式現物売,--, 特定 ,申告,1,2797,--,--,2024/10/1,2797
2024/9/27,亀田製菓,2220,--,現渡,15日, 特定 ,申告,100,4445,94,--,2024/10/1,444406
2024/9/27,エイチ・ツー・オー　リテイリング,8242,--,現渡,15日, 特定 ,申告,100,2239,47,--,2024/10/1,223853
2024/10/1,オロ,3983,--,株式現物買,--, 特定 ,--,1,2586,--,--,2024/10/3,2586
2024/10/1,ギフトホールディングス,9279,--,株式現物買,--, 特定 ,--,1,2814,--,--,2024/10/3,2814
2024/10/18,東京地下鉄,9023,--,株式現物買(募集),--, 特定 ,--,100,1200,--,--,2024/10/21,120000
2024/10/23,日本ファルコム,3723,--,株式現物売,--, 特定 ,申告,1,1074,--,--,2024/10/25,1074
2024/10/23,東京地下鉄,9023,東証,株式現物売,--, 特定 ,申告,100,1630,--,--,2024/10/25,163000
2024/11/25,サーラコーポレーション,2734,--,株式現物買,--, 特定 ,--,1,800,--,--,2024/11/27,800
2024/12/9,楽天グループ,4755,--,株式現物買,--, 特定 ,--,1,892.9,--,--,2024/12/11,892
2024/12/9,マブチモーター,6592,--,株式現物買,--, 特定 ,--,1,2218,--,--,2024/12/11,2218
2024/12/9,立川ブラインド工業,7989,--,株式現物買,--, 特定 ,--,1,1384,--,--,2024/12/11,1384
2024/12/9,ルックホールディングス,8029,東証,株式現物買,--, 特定 ,--,100,2538,--,--,2024/12/11,253800
2024/12/9,ルックホールディングス,8029,東証,信用新規売,15日, 特定 ,--,100,2538,--,--,2024/12/11,--
2024/12/13,ルックホールディングス,8029,--,現渡,15日, 特定 ,申告,100,2538,189,--,2024/12/17,253611
